,Word,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,mixed
227,ICE COLD,0.125,1.312,4.5,2.062,0.188,1.688,haptic
228,HOLDING,0.278,0.0,4.5,2.056,0.222,3.111,haptic
229,SHARP,1.143,1.095,4.476,1.143,0.381,3.714,haptic
230,CARESSING,0.632,0.368,4.474,2.263,0.368,1.895,haptic
231,COARSELY,1.0,1.0,4.471,0.882,0.176,2.353,haptic
232,UNSMOOTH,0.235,0.412,4.471,0.235,0.059,2.412,haptic
233,PAINFUL,1.824,0.471,4.471,4.882,0.706,2.765,haptic
234,STEERINGWHEEL,0.667,0.056,4.444,0.222,0.167,3.722,haptic
235,STURDINESS,0.556,0.0,4.444,0.722,0.0,3.889,haptic
236,HUG,0.688,0.312,4.438,2.75,0.438,2.5,haptic
237,ROUGHNESS,0.429,0.381,4.429,1.0,0.095,2.19,haptic
238,TUG,0.5,0.0,4.429,1.429,0.0,3.286,haptic
239,LUKEWARM,0.242,1.818,4.424,1.939,0.273,0.394,haptic
240,CUDDLE,0.632,0.0,4.421,2.368,1.0,2.632,haptic
241,HUGGING,0.632,0.053,4.421,1.842,0.158,3.474,haptic
242,PRICKING,0.474,0.105,4.421,2.368,0.053,1.316,haptic
243,CUSHIONY,0.211,0.0,4.421,0.684,0.0,2.895,haptic
244,HARDNESS,0.794,0.206,4.412,0.471,0.0,2.676,haptic
245,FLUFFY,0.0,0.294,4.412,0.353,0.0,3.765,haptic
246,FINGERTIP,0.333,0.133,4.4,0.733,0.0,3.467,haptic
247,ELECTRICAL SHOCK,1.75,0.15,4.4,3.9,0.85,1.8,haptic
248,CARESS,0.515,0.152,4.394,2.636,0.242,2.364,haptic
249,CASHMERE,0.389,0.222,4.389,0.611,0.611,2.778,haptic
250,FEELING,1.167,0.278,4.389,3.833,0.444,1.222,haptic
251,MASSAGE,0.722,0.056,4.389,2.833,0.333,1.278,haptic
252,PULL,1.0,0.056,4.389,2.222,0.056,2.389,haptic
253,BEDSHEET,0.238,0.19,4.381,0.762,0.429,3.286,haptic
254,SOGGINESS,0.25,0.812,4.375,0.0,0.188,3.812,haptic
255,TEXTURED,0.588,0.471,4.353,0.588,0.059,2.529,haptic
256,BRUSHES,1.059,0.353,4.353,1.059,0.353,3.824,haptic
257,FORNICATED,2.471,1.176,4.353,3.529,1.471,3.176,haptic
258,STICKINESS,0.824,1.0,4.353,0.353,0.176,2.765,haptic
259,HOLD,0.353,0.0,4.353,0.647,0.0,3.588,haptic
260,POKED,0.4,0.25,4.35,2.2,0.1,1.65,haptic
261,COARSENESS,1.1,0.35,4.35,0.8,0.15,3.2,haptic
262,GLOVE,0.0,0.0,4.333,0.611,0.389,3.389,haptic
263,DOORHANDLE,1.389,0.167,4.333,0.333,0.222,3.944,haptic
264,MASTURBATE,1.867,1.067,4.333,4.2,1.133,3.4,haptic
265,RIGID,1.222,0.167,4.333,1.667,0.056,3.833,haptic
266,PUNCH,1.722,0.5,4.333,2.611,0.333,3.833,haptic
267,KISSING,1.263,2.263,4.316,2.368,0.947,3.263,haptic
268,FONDLING,0.457,0.086,4.314,1.686,0.086,2.8,haptic
269,MASTURBATION,2.375,0.188,4.312,3.125,0.625,2.688,haptic
270,SLICKNESS,0.9,0.45,4.3,0.9,0.1,2.25,haptic
271,GRIPPING,0.9,0.05,4.3,1.95,0.05,2.35,haptic
272,BUMPY,0.75,0.05,4.3,1.45,0.0,3.45,haptic
273,SEMISOFT,0.118,0.588,4.294,0.588,0.0,3.765,haptic
274,VELVETY,0.944,1.0,4.278,0.667,0.0,3.167,haptic
275,FROZEN,0.444,0.944,4.278,1.611,0.444,3.611,haptic
276,OILINESS,0.611,1.889,4.278,0.778,1.778,2.611,haptic
277,SHAVED,0.556,0.167,4.278,1.111,0.722,3.833,haptic
278,SPONGY,0.278,0.444,4.278,0.333,0.056,3.889,haptic
279,VIBRATE,2.5,0.091,4.273,2.545,0.136,1.5,haptic
280,LUBRICATION,0.667,0.667,4.267,0.733,1.067,3.067,haptic
281,ABRASIVE,1.333,0.467,4.267,0.8,0.4,2.0,haptic
282,SMOOCH,2.267,0.8,4.267,1.867,0.067,3.8,haptic
283,TEXTURE,0.263,0.632,4.263,0.632,0.526,3.053,haptic
284,LOTION,0.211,0.368,4.263,0.316,3.316,3.263,haptic
285,CHOPSTICKS,0.526,1.211,4.263,0.421,0.474,3.789,haptic
286,FIRMNESS,0.684,1.211,4.263,1.368,0.368,2.053,haptic
287,JAGGEDNESS,0.15,0.15,4.25,0.5,0.05,3.45,haptic
288,COOLNESS,0.45,2.1,4.25,3.5,0.65,1.95,haptic
289,ACUPUNCTURE,0.286,0.0,4.238,2.667,0.143,2.476,haptic
290,TOUCHED,1.059,0.353,4.235,2.647,0.412,2.882,haptic
291,WETNESS,1.045,0.909,4.227,1.955,0.455,3.5,haptic
292,CARESSINGLY,0.611,0.0,4.222,2.056,0.0,2.667,haptic
293,HANDRAIL,0.389,0.0,4.222,0.111,0.278,3.333,haptic
294,WAXY,0.389,0.944,4.222,0.278,0.389,3.778,haptic
295,JOYSTICK,0.684,0.158,4.211,0.105,0.105,3.947,haptic
296,SHAKING HANDS,0.053,0.0,4.211,1.526,0.0,2.632,haptic
297,FELT,0.316,0.263,4.211,1.368,0.105,1.895,haptic
298,KNEADING,0.733,0.4,4.2,1.133,0.8,3.133,haptic
299,LUMPINESS,0.45,1.25,4.2,1.4,0.2,3.75,haptic
300,POLYESTER,0.3,0.0,4.2,0.4,0.25,3.85,haptic
301,FEATHERINESS,0.688,0.0,4.188,0.875,0.0,3.312,haptic
302,CARPET,0.25,0.0,4.188,0.625,0.375,3.375,haptic
303,FRENCH KISS,1.25,2.875,4.188,2.688,0.75,2.25,haptic
304,SEAT,0.588,0.0,4.176,0.588,0.059,3.882,haptic
305,BRUSHING,1.412,0.176,4.176,0.588,0.059,3.588,haptic
306,SLIMY,0.824,1.235,4.176,1.059,0.471,3.118,haptic
307,PUNCHING,1.222,0.111,4.167,1.889,0.056,3.0,haptic
308,THORNY,0.5,0.0,4.167,0.556,0.0,3.167,haptic
309,ARMBAND,0.444,0.056,4.167,0.5,0.278,3.556,haptic
310,GOOEY,0.778,1.944,4.167,1.5,0.278,3.778,haptic
311,BLANKET,0.211,0.053,4.158,0.684,0.947,3.368,haptic
312,COMB,0.579,0.0,4.158,0.842,0.053,3.895,haptic
313,SPACE BAR,1.789,0.0,4.158,0.211,0.0,3.684,haptic
314,SQUEEZE,1.45,0.4,4.15,1.55,0.15,3.45,haptic
315,BLISTER,0.0,0.19,4.143,2.714,0.0,3.905,haptic
316,HIGH TEMPERATURE,0.2,0.467,4.133,3.0,0.4,2.067,haptic
317,GREASINESS,0.267,2.8,4.133,0.133,1.267,3.4,haptic
318,SMOOTHNESS,0.5,1.812,4.125,0.812,0.125,2.875,haptic
319,FLUFFINESS,0.188,0.75,4.125,0.438,0.125,3.375,haptic
320,RUBBING,1.062,0.062,4.125,1.75,0.125,2.25,haptic
321,HANDKERCHIEF,0.062,0.0,4.125,0.062,0.375,3.875,haptic
322,HOT,0.647,1.765,4.118,2.412,0.824,1.706,haptic
323,SPANKING,2.529,0.0,4.118,1.647,0.0,2.765,haptic
324,COARSE,0.882,0.706,4.118,0.118,0.294,2.706,haptic
325,SPIKY,0.176,0.059,4.118,0.353,0.0,3.824,haptic
